FID	IID	sex	ancestry
HG01812	HG01812	F	EAS
HG01813	HG01813	F	EAS
HG01815	HG01815	F	EAS
HG01816	HG01816	M	EAS
HG01817	HG01817	F	EAS
HG01840	HG01840	M	EAS
HG01841	HG01841	F	EAS
HG01842	HG01842	M	EAS
HG01843	HG01843	F	EAS
HG01844	HG01844	M	EAS
HG01845	HG01845	F	EAS
HG01846	HG01846	M	EAS
HG01847	HG01847	F	EAS
HG01848	HG01848	F	EAS
HG01849	HG01849	M	EAS
HG01850	HG01850	F	EAS
HG01851	HG01851	F	EAS
HG01852	HG01852	M	EAS
HG01853	HG01853	F	EAS
HG01855	HG01855	F	EAS
HG01857	HG01857	F	EAS
HG01858	HG01858	F	EAS
HG01859	HG01859	F	EAS
HG01860	HG01860	M	EAS
HG01861	HG01861	M	EAS
HG01862	HG01862	F	EAS
HG01863	HG01863	F	EAS
HG01864	HG01864	M	EAS
HG01865	HG01865	M	EAS
HG01866	HG01866	M	EAS
HG01867	HG01867	M	EAS
HG01868	HG01868	F	EAS
HG01869	HG01869	F	EAS
HG01870	HG01870	F	EAS
HG01871	HG01871	F	EAS
HG01872	HG01872	M	EAS
HG01873	HG01873	M	EAS
HG01874	HG01874	F	EAS
HG01878	HG01878	F	EAS
HG01879	HG01879	M	AFR
HG01880	HG01880	F	AFR
HG01881	HG01881	F	AFR
HG01882	HG01882	M	AFR
HG01883	HG01883	F	AFR
HG01884	HG01884	F	AFR
HG01885	HG01885	M	AFR
HG01886	HG01886	F	AFR
HG01887	HG01887	M	AFR
HG01888	HG01888	M	AFR
HG01889	HG01889	F	AFR
HG01890	HG01890	M	AFR
HG01891	HG01891	F	AFR
HG01892	HG01892	M	AMR
HG01893	HG01893	F	AMR
HG01894	HG01894	F	AFR
HG01895	HG01895	M	AFR
HG01896	HG01896	F	AFR
HG01897	HG01897	M	AFR
HG01898	HG01898	F	AMR
HG01912	HG01912	M	AFR
HG01914	HG01914	M	AFR
HG01915	HG01915	F	AFR
HG01916	HG01916	F	AFR
HG01917	HG01917	M	AMR
HG01918	HG01918	F	AMR
HG01919	HG01919	F	AMR
HG01920	HG01920	M	AMR
HG01921	HG01921	F	AMR
HG01922	HG01922	F	AMR
HG01923	HG01923	M	AMR
HG01924	HG01924	F	AMR
HG01925	HG01925	F	AMR
HG01926	HG01926	M	AMR
HG01927	HG01927	F	AMR
HG01928	HG01928	M	AMR
HG01932	HG01932	M	AMR
HG01933	HG01933	F	AMR
HG01934	HG01934	M	AMR
HG01935	HG01935	M	AMR
HG01936	HG01936	F	AMR
HG01937	HG01937	M	AMR
HG01938	HG01938	M	AMR
HG01939	HG01939	F	AMR
HG01940	HG01940	F	AMR
HG01941	HG01941	M	AMR
HG01942	HG01942	F	AMR
HG01943	HG01943	M	AMR
HG01944	HG01944	M	AMR
HG01945	HG01945	F	AMR
HG01946	HG01946	M	AMR
HG01947	HG01947	M	AMR
HG01948	HG01948	F	AMR
HG01949	HG01949	F	AMR
HG01950	HG01950	M	AMR
HG01951	HG01951	F	AMR
HG01952	HG01952	M	AMR
HG01953	HG01953	M	AMR
HG01954	HG01954	F	AMR
HG01955	HG01955	F	AMR
HG01956	HG01956	F	AFR
HG01958	HG01958	F	AFR
HG01959	HG01959	F	AFR
HG01960	HG01960	F	AFR
HG01961	HG01961	M	AMR
HG01965	HG01965	F	AMR
HG01967	HG01967	M	AMR
HG01968	HG01968	F	AMR
HG01969	HG01969	F	AMR
HG01970	HG01970	M	AMR
HG01971	HG01971	F	AMR
HG01972	HG01972	F	AMR
HG01973	HG01973	F	AMR
HG01974	HG01974	M	AMR
HG01975	HG01975	F	AMR
HG01976	HG01976	F	AMR
HG01977	HG01977	M	AMR
HG01978	HG01978	F	AMR
HG01979	HG01979	M	AMR
HG01980	HG01980	F	AMR
HG01981	HG01981	F	AMR
HG01982	HG01982	M	AMR
HG01983	HG01983	F	AMR
HG01984	HG01984	M	AMR
HG01985	HG01985	F	AFR
HG01986	HG01986	M	AFR
HG01987	HG01987	M	AFR
HG01988	HG01988	M	AFR
HG01989	HG01989	F	AFR
HG01990	HG01990	M	AFR
HG01991	HG01991	M	AMR
HG01992	HG01992	F	AMR
HG01993	HG01993	F	AMR
HG01995	HG01995	F	AMR
HG01997	HG01997	F	AMR
HG01998	HG01998	M	AMR
HG02002	HG02002	M	AMR
HG02003	HG02003	F	AMR
HG02004	HG02004	F	AMR
HG02006	HG02006	F	AMR
HG02008	HG02008	M	AMR
HG02009	HG02009	M	AFR
HG02010	HG02010	F	AFR
HG02011	HG02011	M	AFR
HG02012	HG02012	F	AFR
HG02013	HG02013	M	AFR
HG02014	HG02014	M	AFR
HG02015	HG02015	M	EAS
HG02016	HG02016	F	EAS
HG02017	HG02017	M	EAS
HG02018	HG02018	F	EAS
HG02019	HG02019	F	EAS
HG02020	HG02020	M	EAS
HG02021	HG02021	M	EAS
HG02023	HG02023	M	EAS
HG02024	HG02024	F	EAS
HG02025	HG02025	F	EAS
HG02026	HG02026	M	EAS
HG02027	HG02027	M	EAS
HG02028	HG02028	F	EAS
HG02029	HG02029	M	EAS
HG02030	HG02030	M	EAS
HG02031	HG02031	F	EAS
HG02032	HG02032	M	EAS
HG02035	HG02035	M	EAS
HG02040	HG02040	M	EAS
HG02046	HG02046	F	EAS
HG02047	HG02047	M	EAS
HG02048	HG02048	F	EAS
HG02049	HG02049	F	EAS
HG02050	HG02050	M	EAS
HG02051	HG02051	M	AFR
HG02052	HG02052	F	AFR
HG02053	HG02053	M	AFR
HG02054	HG02054	F	AFR
HG02055	HG02055	M	AFR
HG02056	HG02056	M	EAS
HG02057	HG02057	F	EAS
HG02058	HG02058	M	EAS
HG02059	HG02059	F	EAS
HG02060	HG02060	F	EAS
HG02061	HG02061	M	EAS
HG02064	HG02064	M	EAS
HG02067	HG02067	M	EAS
HG02068	HG02068	F	EAS
HG02069	HG02069	F	EAS
HG02070	HG02070	M	EAS
HG02071	HG02071	M	EAS
HG02072	HG02072	F	EAS
HG02073	HG02073	M	EAS
HG02074	HG02074	M	EAS
HG02075	HG02075	F	EAS
HG02076	HG02076	M	EAS
HG02077	HG02077	M	EAS
HG02078	HG02078	F	EAS
HG02079	HG02079	M	EAS
HG02080	HG02080	F	EAS
HG02081	HG02081	F	EAS
HG02082	HG02082	M	EAS
HG02083	HG02083	M	EAS
HG02084	HG02084	F	EAS
HG02085	HG02085	M	EAS
HG02086	HG02086	F	EAS
HG02087	HG02087	F	EAS
HG02088	HG02088	M	EAS
HG02089	HG02089	F	AMR
HG02090	HG02090	M	AMR
HG02091	HG02091	F	AMR
HG02095	HG02095	F	AFR
HG02102	HG02102	F	AMR
HG02104	HG02104	M	AMR
HG02105	HG02105	F	AMR
HG02106	HG02106	F	AMR
HG02107	HG02107	M	AFR
HG02108	HG02108	F	AFR
HG02111	HG02111	F	AFR
HG02113	HG02113	F	EAS
HG02116	HG02116	M	EAS
HG02120	HG02120	M	EAS
HG02121	HG02121	F	EAS
HG02122	HG02122	M	EAS
HG02126	HG02126	F	EAS
HG02127	HG02127	F	EAS
HG02128	HG02128	M	EAS
HG02129	HG02129	M	EAS
HG02130	HG02130	F	EAS
HG02131	HG02131	M	EAS
HG02132	HG02132	M	EAS
HG02133	HG02133	F	EAS
HG02134	HG02134	M	EAS
HG02135	HG02135	M	EAS
HG02136	HG02136	F	EAS
HG02137	HG02137	M	EAS
HG02138	HG02138	M	EAS
HG02139	HG02139	F	EAS
HG02140	HG02140	F	EAS
HG02141	HG02141	M	EAS
HG02142	HG02142	F	EAS
HG02143	HG02143	M	AFR
HG02144	HG02144	F	AFR
HG02145	HG02145	M	AFR
HG02146	HG02146	M	AMR
HG02147	HG02147	F	AMR
HG02148	HG02148	F	AMR
HG02150	HG02150	M	AMR
HG02151	HG02151	F	EAS
HG02152	HG02152	F	EAS
HG02153	HG02153	F	EAS
HG02154	HG02154	F	EAS
HG02155	HG02155	F	EAS
HG02156	HG02156	F	EAS
HG02164	HG02164	F	EAS
HG02165	HG02165	F	EAS
HG02166	HG02166	F	EAS
HG02168	HG02168	F	EAS
HG02169	HG02169	F	EAS
HG02170	HG02170	F	EAS
HG02173	HG02173	F	EAS
HG02176	HG02176	F	EAS
HG02178	HG02178	F	EAS
HG02179	HG02179	F	EAS
HG02180	HG02180	F	EAS
HG02181	HG02181	F	EAS
HG02182	HG02182	F	EAS
HG02184	HG02184	F	EAS
HG02185	HG02185	F	EAS
HG02186	HG02186	F	EAS
HG02187	HG02187	F	EAS
HG02188	HG02188	F	EAS
HG02189	HG02189	F	EAS
HG02190	HG02190	F	EAS
HG02215	HG02215	F	EUR
HG02217	HG02217	F	EUR
HG02218	HG02218	F	EUR
HG02219	HG02219	M	EUR
HG02220	HG02220	F	EUR
HG02221	HG02221	M	EUR
HG02222	HG02222	F	EUR
HG02223	HG02223	F	EUR
HG02224	HG02224	M	EUR
HG02225	HG02225	F	EUR
HG02229	HG02229	F	EUR
HG02230	HG02230	F	EUR
HG02231	HG02231	M	EUR
HG02232	HG02232	F	EUR
HG02233	HG02233	M	EUR
HG02234	HG02234	M	EUR
HG02235	HG02235	F	EUR
HG02236	HG02236	M	EUR
HG02237	HG02237	F	EUR
HG02238	HG02238	M	EUR
HG02239	HG02239	F	EUR
HG02240	HG02240	F	EUR
HG02250	HG02250	M	EAS
HG02252	HG02252	F	AMR
HG02253	HG02253	M	AMR
HG02254	HG02254	F	AMR
HG02255	HG02255	M	AFR
HG02256	HG02256	F	AFR
HG02257	HG02257	F	AFR
HG02258	HG02258	M	AFR
HG02259	HG02259	M	AMR
HG02260	HG02260	F	AMR
HG02261	HG02261	M	AMR
HG02262	HG02262	M	AMR
HG02265	HG02265	M	AMR
HG02266	HG02266	F	AMR
HG02267	HG02267	F	AMR
HG02271	HG02271	M	AMR
HG02272	HG02272	F	AMR
HG02273	HG02273	F	AMR
HG02274	HG02274	M	AMR
HG02275	HG02275	F	AMR
HG02276	HG02276	F	AMR
HG02277	HG02277	M	AMR
HG02278	HG02278	F	AMR
HG02279	HG02279	M	AMR
HG02280	HG02280	F	AFR
HG02281	HG02281	M	AFR
HG02282	HG02282	F	AFR
HG02283	HG02283	M	AFR
HG02284	HG02284	M	AFR
HG02285	HG02285	M	AMR
HG02286	HG02286	F	AMR
HG02287	HG02287	F	AMR
HG02288	HG02288	M	AMR
HG02291	HG02291	M	AMR
HG02292	HG02292	F	AMR
HG02293	HG02293	F	AMR
HG02298	HG02298	F	AMR
HG02299	HG02299	M	AMR
HG02300	HG02300	F	AMR
HG02301	HG02301	F	AMR
HG02302	HG02302	M	AMR
HG02303	HG02303	F	AMR
HG02304	HG02304	M	AMR
HG02307	HG02307	M	AFR
HG02308	HG02308	F	AFR
HG02309	HG02309	F	AFR
HG02312	HG02312	F	AMR
HG02314	HG02314	M	AFR
HG02315	HG02315	F	AFR
HG02316	HG02316	M	AFR
HG02317	HG02317	M	AFR
HG02318	HG02318	F	AFR
HG02321	HG02321	F	AFR
HG02322	HG02322	F	AFR
HG02323	HG02323	M	AFR
HG02325	HG02325	F	AFR
HG02330	HG02330	M	AFR
HG02332	HG02332	M	AFR
HG02334	HG02334	M	AFR
HG02337	HG02337	F	AFR
HG02339	HG02339	F	AFR
HG02343	HG02343	M	AFR
HG02344	HG02344	M	AMR
HG02345	HG02345	F	AMR
HG02347	HG02347	M	AMR
HG02348	HG02348	F	AMR
HG02351	HG02351	M	EAS
HG02353	HG02353	M	EAS
HG02355	HG02355	M	EAS
HG02356	HG02356	M	EAS
HG02358	HG02358	M	EAS
HG02360	HG02360	M	EAS
HG02363	HG02363	M	EAS
HG02364	HG02364	M	EAS
HG02367	HG02367	M	EAS
HG02371	HG02371	M	EAS
HG02372	HG02372	M	EAS
HG02373	HG02373	M	EAS
HG02374	HG02374	M	EAS
HG02375	HG02375	M	EAS
HG02377	HG02377	M	EAS
HG02379	HG02379	M	EAS
HG02380	HG02380	M	EAS
HG02381	HG02381	M	EAS
HG02382	HG02382	M	EAS
HG02383	HG02383	M	EAS
HG02384	HG02384	M	EAS
HG02385	HG02385	M	EAS
HG02386	HG02386	M	EAS
HG02387	HG02387	M	EAS
HG02388	HG02388	M	EAS
HG02389	HG02389	M	EAS
HG02390	HG02390	M	EAS
HG02391	HG02391	M	EAS
HG02392	HG02392	M	EAS
HG02394	HG02394	M	EAS
HG02395	HG02395	M	EAS
HG02396	HG02396	M	EAS
HG02397	HG02397	M	EAS
HG02398	HG02398	M	EAS
HG02399	HG02399	M	EAS
HG02401	HG02401	M	EAS
HG02402	HG02402	M	EAS
HG02405	HG02405	M	EAS
HG02406	HG02406	M	EAS
HG02407	HG02407	M	EAS
HG02408	HG02408	M	EAS
HG02409	HG02409	M	EAS
HG02410	HG02410	M	EAS
HG02415	HG02415	F	AMR
HG02419	HG02419	F	AFR
HG02420	HG02420	M	AFR
HG02425	HG02425	F	AMR
HG02427	HG02427	F	AFR
HG02428	HG02428	M	AFR
HG02429	HG02429	M	AFR
HG02433	HG02433	M	AFR
HG02436	HG02436	M	AFR
HG02439	HG02439	M	AFR
HG02442	HG02442	M	AFR
HG02445	HG02445	M	AFR
HG02449	HG02449	M	AFR
HG02450	HG02450	F	AFR
HG02451	HG02451	F	AFR
HG02455	HG02455	M	AFR
HG02461	HG02461	M	AFR
HG02462	HG02462	F	AFR
HG02463	HG02463	M	AFR
HG02464	HG02464	M	AFR
HG02465	HG02465	F	AFR
HG02466	HG02466	M	AFR
HG02470	HG02470	M	AFR
HG02471	HG02471	F	AFR
HG02476	HG02476	F	AFR
HG02477	HG02477	F	AFR
HG02478	HG02478	M	AFR
HG02479	HG02479	F	AFR
HG02480	HG02480	F	AFR
HG02481	HG02481	M	AFR
HG02484	HG02484	M	AFR
HG02485	HG02485	F	AFR
HG02486	HG02486	M	AFR
HG02489	HG02489	M	AFR
HG02490	HG02490	M	SAS
HG02491	HG02491	F	SAS
HG02492	HG02492	M	SAS
HG02493	HG02493	M	SAS
HG02494	HG02494	F	SAS
HG02495	HG02495	F	SAS
HG02496	HG02496	M	AFR
HG02497	HG02497	F	AFR
HG02501	HG02501	M	AFR
HG02502	HG02502	F	AFR
HG02505	HG02505	F	AFR
HG02508	HG02508	F	AFR
HG02511	HG02511	F	AFR
HG02512	HG02512	M	EAS
HG02513	HG02513	F	EAS
HG02514	HG02514	M	EAS
HG02521	HG02521	M	EAS
HG02522	HG02522	F	EAS
HG02523	HG02523	F	EAS
HG02524	HG02524	M	EAS
HG02525	HG02525	F	EAS
HG02526	HG02526	F	EAS
HG02536	HG02536	M	AFR
HG02537	HG02537	F	AFR
HG02541	HG02541	M	AFR
HG02545	HG02545	M	AFR
HG02546	HG02546	F	AFR
HG02547	HG02547	M	AFR
HG02549	HG02549	F	AFR
HG02554	HG02554	M	AFR
HG02555	HG02555	F	AFR
HG02557	HG02557	M	AFR
HG02558	HG02558	F	AFR
HG02559	HG02559	F	AFR
HG02561	HG02561	M	AFR
HG02562	HG02562	F	AFR
HG02563	HG02563	M	AFR
HG02567	HG02567	M	AFR
HG02568	HG02568	F	AFR
HG02569	HG02569	M	AFR
HG02570	HG02570	M	AFR
HG02571	HG02571	F	AFR
HG02572	HG02572	M	AFR
HG02573	HG02573	M	AFR
HG02574	HG02574	F	AFR
HG02575	HG02575	M	AFR
HG02577	HG02577	F	AFR
HG02580	HG02580	F	AFR
HG02582	HG02582	M	AFR
HG02583	HG02583	F	AFR
HG02584	HG02584	M	AFR
HG02585	HG02585	M	AFR
HG02586	HG02586	F	AFR
HG02587	HG02587	F	AFR
HG02588	HG02588	M	AFR
HG02589	HG02589	F	AFR
HG02590	HG02590	M	AFR
HG02594	HG02594	M	AFR
HG02595	HG02595	F	AFR
HG02596	HG02596	M	AFR
HG02597	HG02597	M	SAS
HG02599	HG02599	M	SAS
HG02600	HG02600	M	SAS
HG02601	HG02601	F	SAS
HG02602	HG02602	M	SAS
HG02603	HG02603	M	SAS
HG02604	HG02604	F	SAS
HG02605	HG02605	F	SAS
HG02610	HG02610	M	AFR
HG02611	HG02611	F	AFR
HG02612	HG02612	M	AFR
HG02613	HG02613	M	AFR
HG02614	HG02614	F	AFR
HG02615	HG02615	F	AFR
HG02620	HG02620	M	AFR
HG02621	HG02621	F	AFR
HG02622	HG02622	F	AFR
HG02623	HG02623	M	AFR
HG02624	HG02624	F	AFR
HG02625	HG02625	M	AFR
HG02628	HG02628	M	AFR
HG02629	HG02629	F	AFR
HG02630	HG02630	F	AFR
HG02634	HG02634	M	AFR
HG02635	HG02635	F	AFR
HG02636	HG02636	M	AFR
HG02642	HG02642	M	AFR
HG02643	HG02643	F	AFR
HG02644	HG02644	M	AFR
HG02645	HG02645	M	AFR
HG02646	HG02646	F	AFR
HG02647	HG02647	M	AFR
HG02648	HG02648	M	SAS
HG02649	HG02649	F	SAS
HG02650	HG02650	M	SAS
HG02651	HG02651	M	SAS
HG02652	HG02652	F	SAS
HG02653	HG02653	F	SAS
HG02654	HG02654	M	SAS
HG02655	HG02655	F	SAS
HG02656	HG02656	M	SAS
HG02657	HG02657	M	SAS
HG02658	HG02658	F	SAS
HG02659	HG02659	F	SAS
HG02660	HG02660	M	SAS
HG02661	HG02661	F	SAS
HG02662	HG02662	F	SAS
HG02666	HG02666	M	AFR
HG02667	HG02667	F	AFR
HG02668	HG02668	M	AFR
HG02675	HG02675	M	AFR
HG02676	HG02676	F	AFR
HG02677	HG02677	F	AFR
HG02678	HG02678	M	AFR
HG02679	HG02679	F	AFR
HG02680	HG02680	F	AFR
HG02681	HG02681	M	SAS
HG02682	HG02682	F	SAS
HG02683	HG02683	F	SAS
HG02684	HG02684	M	SAS
HG02685	HG02685	F	SAS
HG02686	HG02686	M	SAS
HG02687	HG02687	M	SAS
HG02688	HG02688	F	SAS
HG02689	HG02689	M	SAS
HG02690	HG02690	M	SAS
HG02691	HG02691	F	SAS
HG02692	HG02692	F	SAS
HG02694	HG02694	F	SAS
HG02696	HG02696	M	SAS
HG02697	HG02697	F	SAS
HG02698	HG02698	M	SAS
HG02699	HG02699	M	SAS
HG02700	HG02700	F	SAS
HG02701	HG02701	M	SAS
HG02702	HG02702	M	AFR
HG02703	HG02703	F	AFR
HG02704	HG02704	F	AFR
HG02715	HG02715	M	AFR
HG02716	HG02716	F	AFR
HG02717	HG02717	M	AFR
HG02721	HG02721	M	AFR
HG02722	HG02722	F	AFR
HG02723	HG02723	F	AFR
HG02724	HG02724	M	SAS
HG02725	HG02725	F	SAS
HG02726	HG02726	F	SAS
HG02727	HG02727	M	SAS
HG02728	HG02728	F	SAS
HG02729	HG02729	M	SAS
HG02731	HG02731	F	SAS
HG02733	HG02733	M	SAS
HG02734	HG02734	F	SAS
HG02735	HG02735	M	SAS
HG02736	HG02736	M	SAS
HG02737	HG02737	F	SAS
HG02738	HG02738	M	SAS
HG02756	HG02756	M	AFR
HG02757	HG02757	F	AFR
HG02758	HG02758	F	AFR
HG02759	HG02759	M	AFR
HG02760	HG02760	F	AFR
HG02761	HG02761	F	AFR
HG02762	HG02762	M	AFR
HG02763	HG02763	F	AFR
HG02764	HG02764	M	AFR
HG02768	HG02768	M	AFR
HG02769	HG02769	F	AFR
HG02770	HG02770	F	AFR
HG02771	HG02771	M	AFR
HG02772	HG02772	F	AFR
HG02773	HG02773	M	AFR
HG02774	HG02774	M	SAS
HG02775	HG02775	F	SAS
HG02776	HG02776	F	SAS
HG02778	HG02778	F	SAS
HG02779	HG02779	M	SAS
HG02780	HG02780	M	SAS
HG02781	HG02781	F	SAS
HG02783	HG02783	M	SAS
HG02784	HG02784	F	SAS
HG02785	HG02785	F	SAS
HG02786	HG02786	M	SAS
HG02787	HG02787	F	SAS
HG02788	HG02788	F	SAS
HG02789	HG02789	M	SAS
HG02790	HG02790	F	SAS
HG02791	HG02791	M	SAS
HG02792	HG02792	M	SAS
HG02793	HG02793	F	SAS
HG02794	HG02794	M	SAS
HG02798	HG02798	M	AFR
HG02799	HG02799	F	AFR
HG02800	HG02800	M	AFR
HG02804	HG02804	M	AFR
HG02805	HG02805	F	AFR
HG02806	HG02806	F	AFR
HG02807	HG02807	M	AFR
HG02808	HG02808	F	AFR
HG02809	HG02809	F	AFR
HG02810	HG02810	M	AFR
HG02811	HG02811	F	AFR
HG02812	HG02812	M	AFR
HG02813	HG02813	M	AFR
HG02814	HG02814	F	AFR
HG02815	HG02815	M	AFR
HG02816	HG02816	M	AFR
HG02817	HG02817	F	AFR
HG02818	HG02818	F	AFR
HG02819	HG02819	M	AFR
HG02820	HG02820	F	AFR
HG02821	HG02821	M	AFR
HG02836	HG02836	M	AFR
HG02837	HG02837	F	AFR
HG02838	HG02838	M	AFR
HG02839	HG02839	M	AFR
HG02840	HG02840	F	AFR
HG02841	HG02841	F	AFR
HG02851	HG02851	M	AFR
HG02852	HG02852	F	AFR
HG02853	HG02853	M	AFR
HG02854	HG02854	M	AFR
HG02855	HG02855	F	AFR
HG02856	HG02856	M	AFR
HG02860	HG02860	M	AFR
HG02861	HG02861	F	AFR
HG02862	HG02862	F	AFR
HG02869	HG02869	M	AFR
HG02870	HG02870	F	AFR
HG02871	HG02871	F	AFR
HG02878	HG02878	M	AFR
HG02879	HG02879	F	AFR
HG02880	HG02880	F	AFR
HG02881	HG02881	M	AFR
HG02882	HG02882	F	AFR
HG02883	HG02883	M	AFR
HG02884	HG02884	M	AFR
HG02885	HG02885	F	AFR
HG02886	HG02886	F	AFR
HG02887	HG02887	M	AFR
HG02888	HG02888	F	AFR
HG02889	HG02889	F	AFR
HG02890	HG02890	M	AFR
HG02891	HG02891	F	AFR
HG02892	HG02892	M	AFR
HG02895	HG02895	M	AFR
HG02896	HG02896	F	AFR
HG02897	HG02897	F	AFR
HG02922	HG02922	F	AFR
HG02923	HG02923	M	AFR
HG02924	HG02924	M	AFR
HG02938	HG02938	M	AFR
HG02939	HG02939	M	AFR
HG02941	HG02941	M	AFR
HG02942	HG02942	M	AFR
HG02943	HG02943	F	AFR
HG02944	HG02944	M	AFR
HG02945	HG02945	F	AFR
HG02946	HG02946	F	AFR
HG02947	HG02947	M	AFR
HG02948	HG02948	M	AFR
HG02952	HG02952	F	AFR
HG02953	HG02953	M	AFR
HG02954	HG02954	M	AFR
HG02964	HG02964	F	AFR
HG02965	HG02965	M	AFR
HG02966	HG02966	M	AFR
HG02968	HG02968	M	AFR
HG02969	HG02969	F	AFR
HG02970	HG02970	F	AFR
HG02971	HG02971	M	AFR
HG02972	HG02972	M	AFR
HG02973	HG02973	M	AFR
HG02974	HG02974	F	AFR
HG02975	HG02975	M	AFR
HG02976	HG02976	F	AFR
HG02977	HG02977	M	AFR
HG02978	HG02978	F	AFR
HG02979	HG02979	F	AFR
HG02980	HG02980	M	AFR
HG02981	HG02981	M	AFR
HG02982	HG02982	M	AFR
HG02983	HG02983	F	AFR
HG02984	HG02984	M	AFR
HG03006	HG03006	M	SAS
HG03007	HG03007	F	SAS
HG03008	HG03008	M	SAS
HG03009	HG03009	M	SAS
HG03012	HG03012	M	SAS
HG03015	HG03015	M	SAS
HG03016	HG03016	F	SAS
HG03017	HG03017	M	SAS
HG03018	HG03018	M	SAS
HG03019	HG03019	F	SAS
HG03021	HG03021	M	SAS
HG03022	HG03022	F	SAS
HG03023	HG03023	M	SAS
HG03024	HG03024	M	AFR
HG03025	HG03025	F	AFR
HG03026	HG03026	F	AFR
HG03027	HG03027	M	AFR
HG03028	HG03028	F	AFR
HG03029	HG03029	M	AFR
HG03033	HG03033	M	AFR
HG03034	HG03034	F	AFR
HG03035	HG03035	M	AFR
HG03039	HG03039	M	AFR
HG03040	HG03040	F	AFR
HG03041	HG03041	F	AFR
HG03045	HG03045	M	AFR
HG03046	HG03046	F	AFR
HG03047	HG03047	F	AFR
HG03048	HG03048	M	AFR
HG03049	HG03049	F	AFR
HG03050	HG03050	M	AFR
HG03052	HG03052	F	AFR
HG03053	HG03053	F	AFR
HG03054	HG03054	M	AFR
HG03055	HG03055	F	AFR
HG03056	HG03056	M	AFR
HG03057	HG03057	M	AFR
HG03058	HG03058	F	AFR
HG03059	HG03059	M	AFR
HG03060	HG03060	M	AFR
HG03061	HG03061	F	AFR
HG03062	HG03062	M	AFR
HG03063	HG03063	M	AFR
HG03064	HG03064	F	AFR
HG03065	HG03065	M	AFR
HG03066	HG03066	M	AFR
HG03069	HG03069	M	AFR
HG03072	HG03072	M	AFR
HG03073	HG03073	F	AFR
HG03074	HG03074	M	AFR
HG03076	HG03076	F	AFR
HG03077	HG03077	M	AFR
HG03078	HG03078	M	AFR
HG03079	HG03079	F	AFR
HG03080	HG03080	F	AFR
HG03081	HG03081	M	AFR
HG03082	HG03082	F	AFR
HG03084	HG03084	M	AFR
HG03085	HG03085	F	AFR
HG03086	HG03086	F	AFR
HG03088	HG03088	F	AFR
HG03091	HG03091	F	AFR
HG03095	HG03095	F	AFR
HG03096	HG03096	M	AFR
HG03097	HG03097	F	AFR
HG03098	HG03098	M	AFR
HG03099	HG03099	F	AFR
HG03100	HG03100	M	AFR
HG03101	HG03101	M	AFR
HG03103	HG03103	M	AFR
HG03104	HG03104	F	AFR
HG03105	HG03105	F	AFR
HG03107	HG03107	F	AFR
HG03108	HG03108	F	AFR
HG03109	HG03109	M	AFR
HG03110	HG03110	F	AFR
HG03111	HG03111	F	AFR
HG03112	HG03112	M	AFR
HG03113	HG03113	F	AFR
HG03114	HG03114	F	AFR
HG03115	HG03115	M	AFR
HG03116	HG03116	F	AFR
HG03117	HG03117	F	AFR
HG03118	HG03118	M	AFR
HG03119	HG03119	F	AFR
HG03120	HG03120	M	AFR
HG03121	HG03121	F	AFR
HG03122	HG03122	M	AFR
HG03123	HG03123	F	AFR
HG03124	HG03124	M	AFR
HG03125	HG03125	F	AFR
HG03126	HG03126	F	AFR
HG03127	HG03127	M	AFR
HG03128	HG03128	M	AFR
HG03129	HG03129	F	AFR
HG03130	HG03130	M	AFR
HG03131	HG03131	M	AFR
HG03132	HG03132	F	AFR
HG03133	HG03133	M	AFR
HG03134	HG03134	M	AFR
HG03135	HG03135	F	AFR
HG03136	HG03136	M	AFR
HG03137	HG03137	M	AFR
HG03139	HG03139	M	AFR
HG03140	HG03140	F	AFR
HG03157	HG03157	M	AFR
HG03158	HG03158	F	AFR
HG03159	HG03159	F	AFR
HG03160	HG03160	M	AFR
HG03161	HG03161	M	AFR
HG03162	HG03162	F	AFR
HG03163	HG03163	M	AFR
HG03164	HG03164	F	AFR
HG03166	HG03166	M	AFR
HG03167	HG03167	M	AFR
HG03168	HG03168	F	AFR
HG03169	HG03169	M	AFR
HG03170	HG03170	M	AFR
HG03171	HG03171	F	AFR
HG03172	HG03172	M	AFR
HG03173	HG03173	M	AFR
HG03175	HG03175	M	AFR
HG03176	HG03176	M	AFR
HG03189	HG03189	F	AFR
HG03190	HG03190	M	AFR
HG03191	HG03191	M	AFR
HG03193	HG03193	M	AFR
HG03194	HG03194	M	AFR
HG03195	HG03195	F	AFR
HG03196	HG03196	M	AFR
HG03197	HG03197	M	AFR
HG03198	HG03198	F	AFR
HG03199	HG03199	M	AFR
HG03200	HG03200	F	AFR
HG03202	HG03202	M	AFR
HG03203	HG03203	F	AFR
HG03209	HG03209	M	AFR
HG03212	HG03212	F	AFR
HG03224	HG03224	M	AFR
HG03225	HG03225	M	AFR
HG03228	HG03228	M	SAS
HG03229	HG03229	F	SAS
HG03230	HG03230	F	SAS
HG03234	HG03234	M	SAS
HG03235	HG03235	F	SAS
HG03236	HG03236	F	SAS
HG03237	HG03237	M	SAS
HG03238	HG03238	F	SAS
HG03239	HG03239	F	SAS
HG03240	HG03240	M	AFR
HG03241	HG03241	F	AFR
HG03242	HG03242	M	AFR
HG03246	HG03246	M	AFR
HG03247	HG03247	F	AFR
HG03248	HG03248	M	AFR
